Search Term,Tweet Text,URL
trumphitler,"@funder @fwdcrocblu This will surely draw a bigger crowd than #trumphitler 's inauguration 
#TheResistance #resist #Fake45",
trumphitler,"#TrumpHitler needs to be arrested for #HighTreason, #ConspiracyToCommitMurder, just to name two!",
trumphitler,@NYDailyNews: It's called #deflection! #TrumpHitler is a psychotic maniac trying to murder all who of us who are Democrats!,
trumphitler,".@KurtSchlichter: ""Obama unilaterally changed the immigration law by simply not enforcing it. That seems pretty undemocratic"" #TrumpHitler",
trumphitler,@POTUS what's your #symbol gonna be? I mean the #swastika has already been used. An upside down #Twitter bird? #TrumpHitler #dictatortrump,
trumphitler,RT @joehaber2: @realDonaldTrump @foxandfriends the FBI is wrong!  Trump is the one with the truth!  #heiltrump #trumphitler #Trumprussia @c…,
trumphitler,THR: The Washington Post's originality on display with Trump/Hitler comparison https://t.co/myZGy1rG0J (WASHEX),http://ift.tt/2mN6Cpt
trumphitler,"RT @DumpTrump22: #Trump knows that When You Own #Congress, You don't need #Brownshirts #TrumpHitler #TrumpPutin #TrumpRussia #Putinspuppet…",
trumphitler,The Washington Post's originality on display with Trump/Hitler comparison https://t.co/WW2Qe70TkE via @DCExaminer,http://washex.am/2mrShgY
trumphitler,RT @usacsmret: The Washington Post's originality on display with Trump/Hitler comparison https://t.co/dkn2zif83x via @DCExaminer,http://washex.am/2mr5HKc
trumphitler,RT @usacsmret: The Washington Post's originality on display with Trump/Hitler comparison https://t.co/dkn2zif83x via @DCExaminer,http://washex.am/2mr5HKc
trumphitler,RT @usacsmret: The Washington Post's originality on display with Trump/Hitler comparison https://t.co/dkn2zif83x via @DCExaminer,http://washex.am/2mr5HKc
trumphitler,The Washington Post's originality on display with Trump/Hitler comparison https://t.co/dkn2zif83x via @DCExaminer,http://washex.am/2mr5HKc
trumphitler,@realDonaldTrump @foxandfriends the FBI is wrong!  Trump is the one with the truth!  #heiltrump #trumphitler #Trumprussia @cnn #russiagate,
trumphitler,RT @TrumpHitler: Hmmm... http://t.co/PfqDxj2MgL,
trumphitler,"RT @DumpTrump22: #Trump knows that When You Own #Congress, You don't need #Brownshirts #TrumpHitler #TrumpPutin #TrumpRussia #Putinspuppet…",
trumphitler,"RT @DumpTrump22: #Trump knows that When You Own #Congress, You don't need #Brownshirts #TrumpHitler #TrumpPutin #TrumpRussia #Putinspuppet…",
trumphitler,"RT @DumpTrump22: #Trump knows that When You Own #Congress, You don't need #Brownshirts #TrumpHitler #TrumpPutin #TrumpRussia #Putinspuppet…",
trumphitler,"#Trump knows that When You Own #Congress, You don't need #Brownshirts #TrumpHitler #TrumpPutin #TrumpRussia… https://t.co/8UgQgTqbY9",https://twitter.com/i/web/status/838482289369755653
trumphitler,@SenJohnMcCain How did YOU allow such as TrumpHitler to even run and be elected? He is a sleaze &amp; sicko on every level. AmoralShameless!,
trumphitler,RT @TrumpHitler: Hmmm... http://t.co/PfqDxj2MgL,
trumphitler,RT @TrumpHitler: Hmmm... http://t.co/PfqDxj2MgL,
trumphitler,RT @pattriotpat: The Washington Post's originality on display with Trump/Hitler comparison https://t.co/HUJr7Yv0d6 via @DCExaminer,http://washex.am/2mq8V0D
trumphitler,The Washington Post's originality on display with Trump/Hitler comparison https://t.co/HUJr7Yv0d6 via @DCExaminer,http://washex.am/2mq8V0D
trumphitler,RT @TrumpHitler: Hmmm... http://t.co/PfqDxj2MgL,
trumphitler,Wow!!! 45 has the creepiest people backing him. What a bunch of absolute scumbags. Remind me of Hitler's supporters… https://t.co/K8RqS939fy,https://twitter.com/i/web/status/838440397617651714
trumphitler,The Washington Post's originality on display with Trump/Hitler comparison https://t.co/3rVtyr3b5r,http://blabber.buzz/politics/conservative/110748-the-washington-posts-originality-on-display-with-trumphitler-comparison
trumphitler,RT @tgradous: The Washington Post's originality on display with Trump/Hitler comparison https://t.co/OtugpvHaZj,http://blabber.buzz/politics/conservative/110748-the-washington-posts-originality-on-display-with-trumphitler-comparison
trumphitler,The Washington Post's originality on display with Trump/Hitler comparison https://t.co/OtugpvHaZj,http://blabber.buzz/politics/conservative/110748-the-washington-posts-originality-on-display-with-trumphitler-comparison
trumphitler,"Idea for reporters: Trump = Hitler is old and boringl. How about ""Trump is Caligula""? https://t.co/0LPq1VL4iA via @DCExaminer",http://washex.am/2mTE76m
trumphitler,The Washington Post's originality on display with Trump/Hitler comparison https://t.co/ymmtJGhgGG via @DCExaminer,http://washex.am/2mpXxSa
trumphitler,"RT @AIIAmericanGirI: The Washington Post's originality on display with Trump/Hitler comparison
https://t.co/XSjrB24fhi",http://www.washingtonexaminer.com/the-washington-posts-originality-on-display-with-trumphitler-comparison/article/2616438
trumphitler,"RT @AIIAmericanGirI: The Washington Post's originality on display with Trump/Hitler comparison
https://t.co/XSjrB24fhi",http://www.washingtonexaminer.com/the-washington-posts-originality-on-display-with-trumphitler-comparison/article/2616438
trumphitler,"RT @AIIAmericanGirI: The Washington Post's originality on display with Trump/Hitler comparison
https://t.co/XSjrB24fhi",http://www.washingtonexaminer.com/the-washington-posts-originality-on-display-with-trumphitler-comparison/article/2616438
trumphitler,"RT @AIIAmericanGirI: The Washington Post's originality on display with Trump/Hitler comparison
https://t.co/XSjrB24fhi",http://www.washingtonexaminer.com/the-washington-posts-originality-on-display-with-trumphitler-comparison/article/2616438
trumphitler,"The Washington Post's originality on display with Trump/Hitler comparison
https://t.co/XSjrB24fhi",http://www.washingtonexaminer.com/the-washington-posts-originality-on-display-with-trumphitler-comparison/article/2616438
trumphitler,The Washington Post’s originality on display with Trump/Hitler comparison https://t.co/cx39jPdmuF https://t.co/1khC3IRWt7,http://liber8r.com/2017/03/the-washington-posts-originality-on-display-with-trumphitler-comparison/
trumphitler,@StanM3 @realDonaldTrump #trumphitler u r just stupid enough to follow trump-hitler over the cliff idiot🃏,
trumphitler,@StanM3 @realDonaldTrump #trumphitler https://t.co/G2vveMWajF,
trumphitler,@StanM3 @realDonaldTrump #trumphitler https://t.co/8prMW0rtN9,
trumphitler,@StanM3 @realDonaldTrump #trumphitler https://t.co/a9ELZUOqPL,
trumphitler,"@realDonaldTrump 
IS IT YOU INTENTION TO DESTROY AMERICA YOU NAZI-FASCIST-LOVING ANTI-CHRIST? #trumpHitler #trumprussia",
trumphitler,The Washington Post's originality on display with Trump/Hitler comparison https://t.co/HQ7oK60m6q https://t.co/wjSPhphxhy,http://www.conservativejunction.com/2017/03/05/the-washington-posts-originality-on-display-with-trumphitler-comparison/
trumphitler,"The Washington Post's originality on display with Trump/Hitler comparison https://t.co/WS4Ib3dd80 via @DCExaminer
Compare DNC to NAZI party?",http://washex.am/2moIdpb
trumphitler,The Washington Post's originality on display with Trump/Hitler comparison https://t.co/A8MlatmEr5 #mcgnews,http://ift.tt/2mqSv8A
trumphitler,The Washington Post originality on display with Trump/Hitler comparison | Washington Examiner https://t.co/96gre7Svb2,http://www.washingtonexaminer.com/the-washington-post-originality-on-display-with-trumphitler-comparison/article/2616438
trumphitler,Original lol 😂 😂😂😂😂https://t.co/Vpvhawb9eU,http://www.washingtonexaminer.com/the-washington-post-originality-on-display-with-trumphitler-comparison/article/2616438#.WLts8b8UfJo.twitter
trumphitler,"RT @JewhadiTM: The .@WashingtonPost ""originality"" on display with Trump/Hitler comparison https://t.co/4cvGwZWHUk via @DCExaminer",http://washex.am/2mosRB1
trumphitler,"RT @JewhadiTM: The .@WashingtonPost ""originality"" on display with Trump/Hitler comparison https://t.co/4cvGwZWHUk via @DCExaminer",http://washex.am/2mosRB1
trumphitler,"RT @JewhadiTM: The .@WashingtonPost ""originality"" on display with Trump/Hitler comparison https://t.co/4cvGwZWHUk via @DCExaminer",http://washex.am/2mosRB1
trumphitler,"The .@WashingtonPost ""originality"" on display with Trump/Hitler comparison https://t.co/4cvGwZWHUk via @DCExaminer",http://washex.am/2mosRB1
trumphitler,The Washington Post originality on display with Trump/Hitler comparison https://t.co/5uXQrVKI2w,http://liber8r.com/2017/03/the-washington-post-originality-on-display-with-trumphitler-comparison/
trumphitler,@KatrinaPierson Your throwing roses for TrumpHitler is funny. Wonder if you'll be busted for treason &amp; executed as well. Say hi to Putin.,
trumphitler,It's a 'German' blink off between the Trump Administration and the Washington Post. Whomever yells 'Hitler' first... https://t.co/Gd0cZ6I92E,http://fb.me/Ofzqswds
trumphitler,"President Trump slams Obama for phone tapping, then goes after Arnold. https://t.co/Fwqzhg5aUo",http://trumphitler.com/president-trump-slams-obama-for-phone-tapping-then-goes-after-arnold/
trumphitler,The Washington Post originality on display with Trump/Hitler comparison https://t.co/QOz14W4tGX,http://www.conservativejunction.com/2017/03/04/the-washington-post-originality-on-display-with-trumphitler-comparison/
trumphitler,The Washington Post originality on display with Trump/Hitler comparison https://t.co/5moU0YbIoo #mcgnews,http://ift.tt/2lr58kf
trumphitler,RT @paralegalCali: One of most inhumane act perhaps in modern US. #TrumpHitler #NoBanNoWallNoRaids https://t.co/TDuGMew9ip,https://twitter.com/cameron_stell/status/837864821173387268
trumphitler,RT @RexValachorum: CNN found another damning evidence against Trumphitler. Impeach him now! https://t.co/GhKOa9UHSh,http://www.cnn.com/2017/03/03/politics/trump-kushner-children-board-motorcade-sans-car-seats/
trumphitler,CNN found another damning evidence against Trumphitler. Impeach him now! https://t.co/GhKOa9UHSh,http://www.cnn.com/2017/03/03/politics/trump-kushner-children-board-motorcade-sans-car-seats/
trumphitler,RT @paralegalCali: One of most inhumane act perhaps in modern US. #TrumpHitler #NoBanNoWallNoRaids https://t.co/TDuGMew9ip,https://twitter.com/cameron_stell/status/837864821173387268
trumphitler,RT @paralegalCali: One of most inhumane act perhaps in modern US. #TrumpHitler #NoBanNoWallNoRaids https://t.co/TDuGMew9ip,https://twitter.com/cameron_stell/status/837864821173387268
trumphitler,RT @paralegalCali: One of most inhumane act perhaps in modern US. #TrumpHitler #NoBanNoWallNoRaids https://t.co/TDuGMew9ip,https://twitter.com/cameron_stell/status/837864821173387268
trumphitler,RT @paralegalCali: One of most inhumane act perhaps in modern US. #TrumpHitler #NoBanNoWallNoRaids https://t.co/TDuGMew9ip,https://twitter.com/cameron_stell/status/837864821173387268
trumphitler,RT @paralegalCali: One of most inhumane act perhaps in modern US. #TrumpHitler #NoBanNoWallNoRaids https://t.co/TDuGMew9ip,https://twitter.com/cameron_stell/status/837864821173387268
trumphitler,RT @paralegalCali: One of most inhumane act perhaps in modern US. #TrumpHitler #NoBanNoWallNoRaids https://t.co/TDuGMew9ip,https://twitter.com/cameron_stell/status/837864821173387268
trumphitler,One of most inhumane act perhaps in modern US. #TrumpHitler #NoBanNoWallNoRaids https://t.co/TDuGMew9ip,https://twitter.com/cameron_stell/status/837864821173387268
trumphitler,And this is what they want to do at our Mexican border now. #TrumpHitler https://t.co/Ke3dF32iXs,https://twitter.com/oldpicsarchive/status/837097131043405824
trumphitler,Why haven't TrumpHitler impeachment proceedings begun?????????,
trumphitler,"@DeniseDresserG @CEMEXMx .Es casa de trumphitler puede hacer lo q quiera como tù en la tuya,hay otra Cìa.Suiza grandotota interesada,",
trumphitler,NOOOO!!! TRUMPHITLER MUST BE DESTROYED!!!! https://t.co/hSM8NpduVC,https://twitter.com/itzjustmichael/status/837310428292268033
trumphitler,"@TammySouthwick1 Looks like Trumphitler and his goons. You call yourself a Christian, yet you praise Trumphitler? How does that work? 😇/👿",
trumphitler,#FirstAmendment #freedomofpress #fascism #dictatortrump #trumphitler #CrookedDonald https://t.co/pBo3Cp8YIw,
trumphitler,This is who's running this country.  #TrumpRussia or #TrumpHitler or both. #ImpeachTrump When will America care? Is… https://t.co/6NzRjtKe8R,https://twitter.com/i/web/status/837116166682259457
trumphitler,"RT @Kittyeskitty: @DeniseDresserG @CEMEX.Si la vida te da limones,vende limonada, si trumphitler quiere un muro altotote en su casa, cemex…",
trumphitler,"@DeniseDresserG @CEMEX.Si la vida te da limones,vende limonada, si trumphitler quiere un muro altotote en su casa, cemex podrà dar + empleos",
trumphitler,"@GartrellLinda No longer an issue. If you wanted to cry about it, you should have then, not now. Now you need to worry about Trumphitler😮",
trumphitler,@POTUS @VP #4thReich #TrumpHitler @IvankaTrump @jaredkushner #NaziGOP when do the camps open?  https://t.co/0FH2SSNSiA,https://www.google.ca/amp/www.indy100.com/article/donald-trump-adolf-hitler-nazi-published-list-crime-immigrants-congress-confirmation-7605146%3Famp
trumphitler,"The only way you can break drug addiction is throuh education, not with border walls
#trumpHitler 
@cspanwj",
trumphitler,https://t.co/dEN8ynmTXI #trump #hitler #trumphitler #PresidentTrump #millenials #fascism,https://www.facebook.com/theconservativemillennialblog/videos/2379963365477710/
trumphitler,"@meakoopa I know, Hitler had a Jewish Convert Daughter and Grandchildren, surrounded by Jewish Advisors. Trumphitler!!",
trumphitler,I can no longer watch TrumpHitler. Netflix is far more appealing. https://t.co/83emjtxf4Y,https://twitter.com/whatsnext/status/836771241155522561
trumphitler,"Well that didn't take long, too much time on /pol or stormfront dear leader? #trump #trumphitler #nazi https://t.co/7dMM2x7uwY",https://twitter.com/shewhovotes/status/836726982616346626
trumphitler,Anyone using the hashtag #TrumpHitler is morally desecrating the graves and memories of millions killed under Hitler. Sick. #jointaddress,
trumphitler,Clearly TrumpHitler has a pathological insanity........... https://t.co/gLooyYUpRt,https://twitter.com/keithboykin/status/836455110477824000
trumphitler,TrumpHitler is insane https://t.co/ILBy7tIOph,https://twitter.com/fireflywriter/status/836577709430042624
trumphitler,@SethAbramson That's how it started. Trump supporters-r u paying attention? #TrumpLies #TrumpLiesMatter… https://t.co/lCKIvDr4Zb,https://twitter.com/i/web/status/836573811071991808
trumphitler,@CNNPolitics #whiningbaby #TrumpLeaks #TrumpLies #trumpidiot #trumphitler His base doesn't even realize when they're being served!,
trumphitler,@spiritualpint @evertonfc2 media friendly war monger who is now universally hated by the British public. Charisma is overrated. #TrumpHitler,
trumphitler,"@foxandfriends @DineshDSouza of course the Left will Scream TrumpHitler while protecting her?? Ludicrous 

#MAGA",
trumphitler,@EP_EEUU A èste imbécil ya deben de decirle la verdad. EL #TrumpHitler NO GANÒ #AlfombraRojaPH #Oscars2017,
trumphitler,"@lopezdoriga Puès la noche sigue siendo perfecta. Ganó la q tenìa q ganar, errar es d humanos pero ser #TrumpHitler eso NO SE PERDONA.",
trumphitler,"#AlfombraRojaPH Ahora cada vez q me equivoque ya no me voy a sentir fatal, errar es de #humanos ser #Trumphitler No se perdona. #CDMX jajaj",
trumphitler,"RT @TrueNevvs: .@FMoniteau it's always the same. Bushitler, Romneyhitler, McCainhitler, Trumphitler. All repubs are always ""hitler""

REMEMB…",
trumphitler,".@FMoniteau it's always the same. Bushitler, Romneyhitler, McCainhitler, Trumphitler. All repubs are always ""hitler… https://t.co/AnG83hkMI6",https://twitter.com/i/web/status/835931755282587648
trumphitler,"Ya got nothing, @realDonaldTrump ??? #sad #trumpHitler #trumpRussia #notmypresident https://t.co/5OIUvtZDCU",https://twitter.com/georgetakei/status/835865148761919488
